txn_id,member_id,ticker,txn_date,txn_type,quantity,percentage_fee,txn_time
30,6512bd,ETH,2017-01-01,BUY,8.84298701787532,0.30,2017-01-01 06:22:20.202995
31,6512bd,BTC,2017-01-01,BUY,2.27106258645779,0.21,2017-01-01 06:40:48.691577
32,c20ad4,BTC,2017-01-01,BUY,6.10189575606238,0.30,2017-01-01 07:13:52.126013
33,c20ad4,ETH,2017-01-01,SELL,1.14631306550034,0.30,2017-01-01 07:14:37.891144
34,c9f0f8,ETH,2017-01-01,BUY,7.51153559515135,0.30,2017-01-01 10:04:32.110535
35,6512bd,BTC,2017-01-01,BUY,6.73841780964583,0.30,2017-01-01 11:00:14.002519
36,6512bd,BTC,2017-01-01,BUY,9.37875791241961,0.30,2017-01-01 12:03:33.017453
37,c20ad4,BTC,2017-01-01,BUY,4.39480898634582,0.30,2017-01-01 13:23:05.639556
38,45c48c,BTC,2017-01-01,BUY,4.66603168291531,0.30,2017-01-01 16:15:42.160892
39,c20ad4,BTC,2017-01-01,BUY,3.56359757948415,0.25,2017-01-01 16:23:16.956985
40,c20ad4,ETH,2017-01-01,BUY,3.53148402891033,0.30,2017-01-01 16:50:56.617002
41,a87ff6,ETH,2017-01-01,BUY,1.98666102006509,0.30,2017-01-01 17:39:10.894181
42,c81e72,ETH,2017-01-01,BUY,2.1568245023283,0.30,2017-01-01 22:08:29.98687
43,8f14e4,BTC,2017-01-01,BUY,4.11244010896549,0.30,2017-01-01 22:19:46.692932
44,c51ce4,ETH,2017-01-01,SELL,8.88989067836274,0.24,2017-01-01 22:22:56.373477
45,167909,BTC,2017-01-01,BUY,8.12999296896873,0.28,2017-01-01 22:44:57.080621
46,eccbc8,BTC,2017-01-02,BUY,3.72978972221961,0.23,2017-01-02 00:36:35.326715
47,45c48c,ETH,2017-01-02,BUY,1.4432566364729,0.30,2017-01-02 01:32:36.586363
48,d3d944,ETH,2017-01-02,SELL,8.33903085875907,0.30,2017-01-02 03:43:46.365139
49,a87ff6,ETH,2017-01-02,BUY,8.78673520720906,0.30,2017-01-02 04:48:50.044665
50,c51ce4,BTC,2017-01-02,BUY,1.69567223478285,0.08,2017-01-02 05:47:52.701772
51,167909,BTC,2017-01-02,BUY,4.73299625455095,0.30,2017-01-02 08:23:56.04651
52,e4da3b,ETH,2017-01-02,BUY,1.37166321944935,0.30,2017-01-02 08:36:54.590157
53,a87ff6,BTC,2017-01-02,BUY,5.95980481918755,0.30,2017-01-02 09:55:27.347188
54,aab323,ETH,2017-01-02,BUY,9.81076193830095,0.30,2017-01-02 11:02:15.444085
55,6512bd,BTC,2017-01-02,BUY,5.54383811940401,0.30,2017-01-02 11:12:42.895079
56,d3d944,BTC,2017-01-02,SELL,0.617022836017078,0.18,2017-01-02 11:47:14.982837
57,d3d944,BTC,2017-01-02,BUY,8.67593958643202,0.30,2017-01-02 14:02:49.857963
58,aab323,BTC,2017-01-02,BUY,0.150368926105635,0.30,2017-01-02 14:40:12.812054
59,c4ca42,BTC,2017-01-02,BUY,6.07965039803421,0.30,2017-01-02 14:57:58.580616
60,a87ff6,BTC,2017-01-02,BUY,9.01117722642621,0.30,2017-01-02 17:16:29.062839
61,aab323,BTC,2017-01-02,BUY,1.02959992614341,0.05,2017-01-02 19:45:03.907208
62,c20ad4,ETH,2017-01-02,SELL,3.68741561390859,0.30,2017-01-02 20:39:20.101933
63,6512bd,ETH,2017-01-02,BUY,5.04372609654009,0.07,2017-01-02 20:48:13.480413
64,a87ff6,ETH,2017-01-02,BUY,1.37715908309016,0.01,2017-01-02 20:49:33.771818
65,6512bd,BTC,2017-01-02,BUY,3.01276029896716,0.30,2017-01-02 21:00:49.341793
66,c4ca42,BTC,2017-01-02,BUY,1.19431960126928,0.18,2017-01-02 21:05:35.10978
67,c51ce4,BTC,2017-01-02,SELL,6.14200575011889,0.30,2017-01-02 21:52:03.559847
68,aab323,BTC,2017-01-02,BUY,8.87659604060165,0.05,2017-01-02 22:57:52.89222
69,c51ce4,BTC,2017-01-03,BUY,1.79197510220785,0.11,2017-01-03 00:44:20.878874
70,45c48c,ETH,2017-01-03,BUY,7.26529694116206,0.30,2017-01-03 02:01:39.028203
71,c51ce4,ETH,2017-01-03,BUY,0.494025067523332,0.30,2017-01-03 02:20:00.281861
72,8f14e4,ETH,2017-01-03,BUY,5.46986951868032,0.30,2017-01-03 03:11:50.133288
73,8f14e4,BTC,2017-01-03,SELL,3.70458294876375,0.30,2017-01-03 04:40:59.433119
74,e4da3b,BTC,2017-01-03,SELL,5.37589093905719,0.29,2017-01-03 06:24:45.189281
75,d3d944,ETH,2017-01-03,BUY,1.24878297895162,0.30,2017-01-03 08:48:43.359872
76,eccbc8,ETH,2017-01-03,SELL,6.68174016867614,0.30,2017-01-03 08:53:08.837342
77,a87ff6,BTC,2017-01-03,BUY,3.80769453794553,0.30,2017-01-03 12:30:20.779105
78,aab323,ETH,2017-01-03,SELL,1.12002857551726,0.30,2017-01-03 12:58:05.761739
79,aab323,ETH,2017-01-03,BUY,0.451011553257139,0.30,2017-01-03 13:21:58.579316
80,c20ad4,BTC,2017-01-03,BUY,9.20172765804775,0.30,2017-01-03 14:53:13.801204
81,d3d944,ETH,2017-01-03,SELL,3.44125919276681,0.30,2017-01-03 14:58:47.903792
82,e4da3b,BTC,2017-01-03,BUY,5.15965539212882,0.30,2017-01-03 16:02:59.740435
83,c9f0f8,BTC,2017-01-03,BUY,2.22039024999493,0.30,2017-01-03 17:44:37.346957
84,c9f0f8,ETH,2017-01-03,BUY,1.14515606005998,0.30,2017-01-03 20:41:54.096859
85,eccbc8,BTC,2017-01-04,BUY,9.31651809291392,0.01,2017-01-04 01:41:45.196431
86,c4ca42,BTC,2017-01-04,BUY,7.7369875664488,0.30,2017-01-04 01:54:24.430823
87,d3d944,BTC,2017-01-04,BUY,9.14745014941321,0.30,2017-01-04 06:18:46.11076
88,d3d944,ETH,2017-01-04,SELL,9.40225585218226,0.14,2017-01-04 07:04:18.642706
89,a87ff6,BTC,2017-01-04,BUY,5.68677206948404,0.00,2017-01-04 08:13:07.752195
90,c20ad4,BTC,2017-01-04,BUY,1.31581674758774,0.30,2017-01-04 10:07:38.043412
91,8f14e4,ETH,2017-01-04,BUY,2.63901092335448,0.30,2017-01-04 11:17:42.666948
92,c9f0f8,ETH,2017-01-04,BUY,9.44889060322563,0.02,2017-01-04 12:12:53.567853
93,a87ff6,BTC,2017-01-04,BUY,8.13772499730359,0.30,2017-01-04 12:25:48.367139
94,c9f0f8,ETH,2017-01-04,BUY,4.18139376260694,0.30,2017-01-04 15:45:36.375736
95,e4da3b,BTC,2017-01-04,BUY,2.92701283445222,0.02,2017-01-04 16:21:04.107239
96,aab323,ETH,2017-01-04,BUY,7.63709317716302,0.30,2017-01-04 16:57:56.061892
97,a87ff6,ETH,2017-01-04,BUY,9.12200760978674,0.30,2017-01-04 19:08:19.353009
98,c51ce4,BTC,2017-01-04,BUY,7.32876952112594,0.30,2017-01-04 19:19:42.179094
99,6512bd,ETH,2017-01-04,BUY,1.83100404691078,0.30,2017-01-04 22:04:12.689306
100,c20ad4,BTC,2017-01-04,BUY,8.78229631848424,0.20,2017-01-04 23:32:58.542257
101,c20ad4,BTC,2017-01-04,BUY,8.742448544856,0.30,2017-01-04 23:42:06.331286
102,c9f0f8,BTC,2017-01-05,BUY,2.61926013021974,0.30,2017-01-05 00:40:34.99352
103,c51ce4,BTC,2017-01-05,BUY,1.51049195185703,0.30,2017-01-05 01:29:23.674149
104,c4ca42,ETH,2017-01-05,BUY,4.695261362608,0.30,2017-01-05 01:29:25.406067
105,167909,BTC,2017-01-05,BUY,6.41391810571097,0.30,2017-01-05 02:56:10.92051
106,eccbc8,BTC,2017-01-05,BUY,9.80839401505218,0.25,2017-01-05 06:53:59.499462
107,c4ca42,BTC,2017-01-05,BUY,1.0327558112208,0.30,2017-01-05 07:14:24.69899
108,a87ff6,BTC,2017-01-05,BUY,9.49645508006679,0.30,2017-01-05 08:48:48.060639
109,c51ce4,BTC,2017-01-05,SELL,4.71866798876665,0.30,2017-01-05 13:40:23.527622
110,d3d944,BTC,2017-01-05,BUY,7.68372095443855,0.30,2017-01-05 14:18:26.996334
111,167909,ETH,2017-01-05,SELL,3.82791494396169,0.30,2017-01-05 17:40:57.753194
112,c9f0f8,BTC,2017-01-05,BUY,4.88877609345504,0.30,2017-01-05 20:25:27.620637
113,a87ff6,BTC,2017-01-06,BUY,5.52912539259342,0.30,2017-01-06 00:30:19.958448
114,c20ad4,BTC,2017-01-06,BUY,8.52494520113435,0.11,2017-01-06 01:42:12.202167
115,d3d944,BTC,2017-01-06,BUY,1.74832255123139,0.30,2017-01-06 01:49:21.125569
116,c20ad4,BTC,2017-01-06,BUY,6.99108148211604,0.30,2017-01-06 05:39:55.151175
117,45c48c,ETH,2017-01-06,SELL,0.21676115944647,0.24,2017-01-06 08:54:41.544741
118,45c48c,ETH,2017-01-06,BUY,7.08123295148699,0.30,2017-01-06 09:52:48.981955
119,c20ad4,BTC,2017-01-06,BUY,6.5908100585585,0.30,2017-01-06 10:37:24.899064
120,45c48c,BTC,2017-01-06,BUY,7.65816201405091,0.30,2017-01-06 13:59:19.572134
121,c20ad4,BTC,2017-01-06,BUY,2.56659920388149,0.30,2017-01-06 17:43:20.937432
122,c81e72,ETH,2017-01-06,BUY,5.44276359789325,0.30,2017-01-06 18:28:50.51174
123,c20ad4,BTC,2017-01-06,SELL,6.99479400153681,0.30,2017-01-06 19:06:23.904503
124,8f14e4,ETH,2017-01-06,BUY,4.82404112185488,0.30,2017-01-06 21:11:21.609705
125,eccbc8,BTC,2017-01-07,BUY,0.328722011207496,0.30,2017-01-07 00:38:45.003062
126,eccbc8,BTC,2017-01-07,BUY,2.39460799275495,0.30,2017-01-07 01:02:11.352858
127,c20ad4,BTC,2017-01-07,BUY,5.06722019607711,0.30,2017-01-07 01:33:29.61979
128,c51ce4,ETH,2017-01-07,BUY,8.02977034049849,0.30,2017-01-07 02:57:39.877866
129,c51ce4,BTC,2017-01-07,BUY,9.90970343057771,0.26,2017-01-07 04:24:10.177174
130,eccbc8,BTC,2017-01-07,BUY,9.29903604028443,0.30,2017-01-07 04:45:17.269941
131,c4ca42,ETH,2017-01-07,BUY,9.30924649037468,0.30,2017-01-07 13:48:05.184117
132,c4ca42,ETH,2017-01-07,BUY,5.26230557506157,0.30,2017-01-07 15:40:06.195011
133,e4da3b,ETH,2017-01-07,BUY,9.25202530100112,0.15,2017-01-07 17:46:33.855402
134,aab323,ETH,2017-01-07,BUY,7.52780216680105,0.30,2017-01-07 19:21:18.391276
135,c4ca42,BTC,2017-01-07,SELL,8.15211242271975,0.30,2017-01-07 19:51:07.812188
136,aab323,ETH,2017-01-07,SELL,9.31865424465197,0.30,2017-01-07 21:02:50.845317
137,c20ad4,BTC,2017-01-07,BUY,4.56020071698749,0.30,2017-01-07 21:45:56.144275
138,8f14e4,BTC,2017-01-07,SELL,5.96170150124859,0.30,2017-01-07 22:30:08.960036
139,c51ce4,ETH,2017-01-08,BUY,7.42096276324592,0.19,2017-01-08 00:46:18.52577
140,c51ce4,ETH,2017-01-08,BUY,5.52029697865319,0.30,2017-01-08 08:56:05.593664
141,a87ff6,ETH,2017-01-08,BUY,6.16297905416364,0.30,2017-01-08 09:46:28.001596
142,c9f0f8,ETH,2017-01-08,BUY,0.915733416200801,0.30,2017-01-08 11:32:48.812765
143,aab323,ETH,2017-01-08,BUY,2.64580279560239,0.30,2017-01-08 12:29:44.225126
144,c81e72,ETH,2017-01-08,BUY,5.9688096290682,0.16,2017-01-08 15:33:09.422654
145,c51ce4,ETH,2017-01-08,BUY,3.99668674169025,0.05,2017-01-08 17:30:06.432725
146,a87ff6,BTC,2017-01-08,BUY,0.736037551423756,0.08,2017-01-08 18:24:36.050918
147,c81e72,ETH,2017-01-08,BUY,8.35843837487797,0.28,2017-01-08 18:39:25.872526
148,d3d944,BTC,2017-01-08,SELL,8.74298948141043,0.30,2017-01-08 22:00:51.471993
149,a87ff6,BTC,2017-01-09,BUY,4.50722146824742,0.00,2017-01-09 01:41:19.113905
150,c4ca42,BTC,2017-01-09,BUY,8.69171568254327,0.30,2017-01-09 02:28:54.540829
151,8f14e4,ETH,2017-01-09,BUY,5.23898420050134,0.30,2017-01-09 09:19:41.038484
152,6512bd,BTC,2017-01-09,BUY,4.33397838580394,0.30,2017-01-09 13:06:32.430007
153,c20ad4,ETH,2017-01-09,BUY,9.83905517827171,0.30,2017-01-09 14:51:47.161381
154,c81e72,ETH,2017-01-09,SELL,3.10324109715548,0.30,2017-01-09 15:15:10.343006
155,aab323,ETH,2017-01-09,BUY,3.80023352850824,0.29,2017-01-09 18:18:19.514082
156,e4da3b,BTC,2017-01-09,SELL,2.99315795741872,0.23,2017-01-09 22:51:48.830327
157,c81e72,ETH,2017-01-10,BUY,7.61333837961555,0.30,2017-01-10 01:18:46.658733
158,e4da3b,BTC,2017-01-10,BUY,6.03400763549889,0.30,2017-01-10 02:16:59.188014
159,c4ca42,ETH,2017-01-10,BUY,1.12320730941509,0.30,2017-01-10 03:19:23.407411
160,c81e72,ETH,2017-01-10,BUY,8.47535695150317,0.20,2017-01-10 04:35:43.737631
161,c51ce4,BTC,2017-01-10,BUY,4.72170997665312,0.09,2017-01-10 07:46:19.017586
162,c4ca42,ETH,2017-01-10,BUY,0.711392609961088,0.11,2017-01-10 09:52:25.09705
163,c9f0f8,BTC,2017-01-10,BUY,5.64008823193848,0.30,2017-01-10 13:13:07.313623
164,c81e72,ETH,2017-01-10,BUY,9.02927466852045,0.30,2017-01-10 14:07:46.407345
165,eccbc8,BTC,2017-01-10,BUY,6.89325222268206,0.28,2017-01-10 14:34:51.930896
166,d3d944,ETH,2017-01-10,BUY,0.234813763729882,0.30,2017-01-10 18:40:12.003706
167,45c48c,ETH,2017-01-10,BUY,2.0169443518915,0.06,2017-01-10 20:32:14.916986
168,e4da3b,BTC,2017-01-10,SELL,4.20441012241323,0.30,2017-01-10 21:00:50.633486
169,8f14e4,BTC,2017-01-10,BUY,7.35956905665748,0.02,2017-01-10 23:53:48.604616
170,d3d944,ETH,2017-01-11,SELL,1.87486511972725,0.30,2017-01-11 03:29:39.855208
171,8f14e4,ETH,2017-01-11,BUY,9.08182600323922,0.10,2017-01-11 04:14:15.101087
172,eccbc8,BTC,2017-01-11,BUY,0.589458268403185,0.30,2017-01-11 04:54:52.416361
173,6512bd,BTC,2017-01-11,BUY,4.16325821491068,0.09,2017-01-11 07:08:28.933959
174,c20ad4,ETH,2017-01-11,BUY,5.16479299622095,0.30,2017-01-11 14:25:25.270795
175,aab323,BTC,2017-01-11,BUY,3.01916511817016,0.30,2017-01-11 14:57:35.984358
176,a87ff6,ETH,2017-01-11,BUY,0.957248722659649,0.30,2017-01-11 16:59:22.025493
177,c81e72,ETH,2017-01-11,BUY,0.306839801563363,0.30,2017-01-11 17:54:40.081132
178,eccbc8,ETH,2017-01-11,BUY,5.41859581254716,0.30,2017-01-11 19:32:46.007254
179,c9f0f8,BTC,2017-01-11,SELL,9.64648923347344,0.30,2017-01-11 22:38:53.673907
180,c20ad4,BTC,2017-01-12,BUY,9.58951881739882,0.30,2017-01-12 00:09:37.015572
181,c51ce4,BTC,2017-01-12,BUY,6.41356927905566,0.21,2017-01-12 04:05:16.389395
182,e4da3b,ETH,2017-01-12,BUY,4.34083991407004,0.30,2017-01-12 04:33:22.366144
183,c9f0f8,ETH,2017-01-12,BUY,9.81011401597879,0.30,2017-01-12 04:51:03.089878
184,a87ff6,BTC,2017-01-12,BUY,5.29109162879774,0.30,2017-01-12 05:27:14.012791
185,c9f0f8,BTC,2017-01-12,BUY,8.98804897343627,0.30,2017-01-12 09:23:26.553062
186,c81e72,ETH,2017-01-12,BUY,1.99710700917141,0.08,2017-01-12 09:33:20.193436
187,c4ca42,ETH,2017-01-12,BUY,1.88824533626008,0.04,2017-01-12 13:06:42.696734
188,c81e72,ETH,2017-01-12,BUY,8.66967145703978,0.30,2017-01-12 14:16:28.450041
189,c51ce4,BTC,2017-01-12,BUY,8.05218719716915,0.30,2017-01-12 15:00:37.140436
190,eccbc8,BTC,2017-01-12,BUY,7.30872333354935,0.30,2017-01-12 17:07:59.595033
191,c20ad4,BTC,2017-01-12,BUY,3.82690936334701,0.30,2017-01-12 17:26:38.395888
192,167909,BTC,2017-01-12,BUY,0.869539982265302,0.30,2017-01-12 18:23:21.316448
193,eccbc8,ETH,2017-01-12,BUY,0.229272431754204,0.30,2017-01-12 18:31:45.119599
194,e4da3b,ETH,2017-01-12,BUY,9.02110073307998,0.30,2017-01-12 18:37:54.216373
195,c9f0f8,BTC,2017-01-12,BUY,7.44947969701389,0.30,2017-01-12 20:25:28.432099
196,c20ad4,BTC,2017-01-12,BUY,5.24677917637558,0.30,2017-01-12 20:28:30.937848
197,45c48c,BTC,2017-01-12,SELL,6.87962318371188,0.30,2017-01-12 20:57:09.158829
198,6512bd,ETH,2017-01-12,BUY,8.2305479591535,0.19,2017-01-12 21:51:57.804571
199,eccbc8,ETH,2017-01-12,SELL,0.197172458220045,0.24,2017-01-12 23:02:16.86897
200,8f14e4,ETH,2017-01-12,SELL,1.45131471628108,0.30,2017-01-12 23:35:40.392767
201,c9f0f8,ETH,2017-01-13,BUY,2.33492709744812,0.11,2017-01-13 00:47:48.118441
202,8f14e4,ETH,2017-01-13,BUY,9.08663791253847,0.30,2017-01-13 00:57:58.735413
203,d3d944,BTC,2017-01-13,BUY,6.31722430456247,0.30,2017-01-13 01:28:33.555383
204,c4ca42,BTC,2017-01-13,BUY,3.14692133394811,0.30,2017-01-13 01:52:44.24299
205,c81e72,BTC,2017-01-13,SELL,7.24675935509193,0.30,2017-01-13 02:13:28.032172
206,8f14e4,ETH,2017-01-13,BUY,9.94017432813596,0.30,2017-01-13 04:29:24.334812
207,45c48c,ETH,2017-01-13,BUY,8.64179553041684,0.30,2017-01-13 04:59:52.410143
208,eccbc8,ETH,2017-01-13,BUY,7.41707889247909,0.30,2017-01-13 06:03:57.138417
209,a87ff6,BTC,2017-01-13,SELL,4.63626471125121,0.30,2017-01-13 06:22:29.427189
210,8f14e4,BTC,2017-01-13,BUY,3.81077520627219,0.30,2017-01-13 07:08:23.15614
211,167909,BTC,2017-01-13,SELL,3.30194297800073,0.30,2017-01-13 07:12:25.352945
212,e4da3b,ETH,2017-01-13,SELL,6.73540851248983,0.30,2017-01-13 08:39:49.296745
213,45c48c,ETH,2017-01-13,BUY,9.62950089651127,0.02,2017-01-13 11:25:09.704052
214,c81e72,ETH,2017-01-13,BUY,4.26545754123712,0.30,2017-01-13 12:21:35.596366
215,e4da3b,BTC,2017-01-13,SELL,6.16202216243924,0.30,2017-01-13 13:01:18.627515
216,c9f0f8,BTC,2017-01-13,SELL,7.55270034582036,0.03,2017-01-13 13:38:50.721181
217,c20ad4,BTC,2017-01-13,BUY,7.45410319556004,0.03,2017-01-13 14:48:13.391329
218,c4ca42,ETH,2017-01-13,BUY,8.35300487746192,0.30,2017-01-13 23:28:06.517964
219,c51ce4,BTC,2017-01-14,SELL,1.98348045322323,0.30,2017-01-14 01:48:45.08347
220,aab323,BTC,2017-01-14,BUY,1.0753913842694,0.30,2017-01-14 03:35:02.413741
221,a87ff6,BTC,2017-01-14,BUY,1.89791316639376,0.30,2017-01-14 03:40:24.875737
222,aab323,BTC,2017-01-14,BUY,3.41704416223198,0.30,2017-01-14 04:06:12.117544
223,8f14e4,ETH,2017-01-14,BUY,4.39919778736435,0.30,2017-01-14 07:23:21.027344
224,d3d944,BTC,2017-01-14,SELL,1.30314420328158,0.30,2017-01-14 09:06:12.787633
225,e4da3b,BTC,2017-01-14,BUY,2.10829902729113,0.09,2017-01-14 10:14:02.16891
226,d3d944,BTC,2017-01-14,BUY,1.54625119595128,0.30,2017-01-14 12:53:02.915772
227,c20ad4,BTC,2017-01-14,SELL,0.382333791657068,0.07,2017-01-14 13:34:14.929768
228,c20ad4,BTC,2017-01-14,BUY,3.51979130055415,0.30,2017-01-14 13:34:29.797318
229,45c48c,BTC,2017-01-14,BUY,7.18615745710697,0.30,2017-01-14 15:48:18.990444
230,aab323,ETH,2017-01-14,BUY,4.5795902032167,0.30,2017-01-14 16:51:39.924613
231,167909,BTC,2017-01-14,BUY,3.91892589265471,0.30,2017-01-14 17:08:53.56959
232,8f14e4,ETH,2017-01-14,BUY,3.19757870454477,0.30,2017-01-14 17:10:35.689459
233,c81e72,BTC,2017-01-14,SELL,6.66571867064714,0.11,2017-01-14 21:55:57.782299
234,a87ff6,ETH,2017-01-14,BUY,9.4825410164761,0.30,2017-01-14 22:17:25.334907
235,167909,BTC,2017-01-15,BUY,1.20800703899295,0.30,2017-01-15 01:16:21.329117
236,c9f0f8,BTC,2017-01-15,BUY,5.05023883577064,0.30,2017-01-15 06:00:40.737991
237,c9f0f8,BTC,2017-01-15,BUY,2.06269950268311,0.19,2017-01-15 08:04:45.905903
238,aab323,BTC,2017-01-15,BUY,0.0971423434974739,0.30,2017-01-15 10:36:59.73775
239,c4ca42,ETH,2017-01-15,BUY,1.56748973650817,0.30,2017-01-15 12:23:12.234551
240,c81e72,BTC,2017-01-15,BUY,6.37459776519972,0.20,2017-01-15 14:21:33.829405
241,a87ff6,BTC,2017-01-15,BUY,0.980602935689312,0.30,2017-01-15 15:16:35.397173
242,eccbc8,BTC,2017-01-15,BUY,5.75762827572614,0.17,2017-01-15 18:25:06.100122
243,167909,ETH,2017-01-15,BUY,7.90781697023835,0.14,2017-01-15 18:43:44.461548
244,6512bd,ETH,2017-01-15,BUY,3.12940449544566,0.30,2017-01-15 20:04:52.52264
245,d3d944,ETH,2017-01-15,BUY,1.63817068929514,0.04,2017-01-15 20:57:33.299379
246,8f14e4,ETH,2017-01-15,SELL,0.745430284499484,0.30,2017-01-15 21:06:57.18856
247,aab323,BTC,2017-01-15,BUY,6.93610863786798,0.22,2017-01-15 22:44:30.587806
248,c51ce4,BTC,2017-01-16,BUY,1.70368228517983,0.30,2017-01-16 00:31:09.893759
249,c51ce4,BTC,2017-01-16,BUY,9.45072564425114,0.16,2017-01-16 01:29:58.835512
250,6512bd,ETH,2017-01-16,BUY,7.20350088311751,0.07,2017-01-16 03:08:27.259811
251,aab323,BTC,2017-01-16,BUY,5.39927504989624,0.12,2017-01-16 04:28:57.721445
252,d3d944,BTC,2017-01-16,SELL,7.83190436717231,0.30,2017-01-16 07:22:39.211673
253,6512bd,ETH,2017-01-16,BUY,3.58853965947805,0.19,2017-01-16 08:10:48.279618
254,6512bd,ETH,2017-01-16,SELL,5.2630157877979,0.30,2017-01-16 09:41:29.600973
255,c81e72,ETH,2017-01-16,BUY,6.1978530761257,0.30,2017-01-16 10:05:35.671646
256,c81e72,ETH,2017-01-16,BUY,2.04252217136588,0.03,2017-01-16 10:24:35.94935
257,a87ff6,BTC,2017-01-16,BUY,1.87491194353615,0.26,2017-01-16 12:40:01.796563
258,45c48c,BTC,2017-01-16,BUY,6.10371416555356,0.20,2017-01-16 13:05:55.06313
259,a87ff6,ETH,2017-01-16,BUY,6.678142112013,0.19,2017-01-16 13:47:33.034901
260,c81e72,ETH,2017-01-16,BUY,1.49572814470933,0.30,2017-01-16 15:43:14.380536
261,6512bd,BTC,2017-01-16,BUY,2.75820790663953,0.30,2017-01-16 17:28:09.076829
262,c9f0f8,ETH,2017-01-16,BUY,8.35027240372067,0.30,2017-01-16 18:19:25.160358
263,d3d944,BTC,2017-01-16,BUY,4.54959058363752,0.30,2017-01-16 21:57:50.434095
264,aab323,ETH,2017-01-16,BUY,2.53023995982925,0.01,2017-01-16 23:11:54.369349
265,aab323,BTC,2017-01-16,BUY,1.13960554234108,0.30,2017-01-16 23:57:45.593166
266,45c48c,BTC,2017-01-17,BUY,8.07343860052146,0.30,2017-01-17 00:14:18.618136
267,6512bd,ETH,2017-01-17,SELL,6.62487531273126,0.30,2017-01-17 00:29:01.846243
268,aab323,ETH,2017-01-17,SELL,9.83135248694335,0.30,2017-01-17 00:35:52.175832
269,e4da3b,BTC,2017-01-17,BUY,5.8590488903894,0.30,2017-01-17 01:45:31.404558
270,eccbc8,BTC,2017-01-17,BUY,3.52210407689565,0.11,2017-01-17 02:52:36.547996
271,c51ce4,BTC,2017-01-17,SELL,5.49192685821314,0.25,2017-01-17 03:35:28.278329
272,eccbc8,ETH,2017-01-17,BUY,0.511863331928417,0.30,2017-01-17 08:39:50.960929
273,c9f0f8,ETH,2017-01-17,BUY,4.8523361855155,0.30,2017-01-17 17:08:41.731932
274,eccbc8,BTC,2017-01-17,BUY,2.39175229093515,0.30,2017-01-17 21:37:06.521261
275,a87ff6,BTC,2017-01-17,BUY,2.94533117344837,0.15,2017-01-17 22:22:00.95123
276,d3d944,ETH,2017-01-17,BUY,6.99304995501695,0.07,2017-01-17 23:05:59.584349
277,aab323,ETH,2017-01-18,BUY,7.00309135297029,0.30,2017-01-18 04:29:45.937861
278,45c48c,BTC,2017-01-18,BUY,2.26153128553758,0.30,2017-01-18 04:57:48.289826
279,45c48c,ETH,2017-01-18,BUY,7.26437698700135,0.19,2017-01-18 06:21:52.758916
280,d3d944,ETH,2017-01-18,SELL,9.7305051907701,0.30,2017-01-18 07:19:42.188102
